"category","id","kabupaten","kecamatan","kelurahan","nama_tempat","alamat","daya_tampung","koordinator","no_hp","dokumen","keterangan","lat","lon","created_at","updated_at","deleted_at"
"Dalam Observasi","744","KAB. MAGETAN","TAKERAN","Takeran","Gedung SDN Takeran","Kelurahan Takeran ","25 Orang","Purwanto ","082133658085","","","-7.6794865","  111.4428403","0000-00-00 00:00:00","2020-04-11 20:44:29","0000-00-00 00:00:00"
"Dalam Observasi","745","KAB. MAGETAN","TAKERAN","Kuwonharjo","Gedung SDN Kuwonharjo","Desa Kuwonharjo ","25 Orang","Suyitno ","081335201222","","","-7.6872387","111.4476057  ","0000-00-00 00:00:00","2020-04-11 20:46:34","0000-00-00 00:00:00"
"Dalam Observasi","746","KAB. MAGETAN","TAKERAN","Kepuhrejo","Gedung SDN Kepuhrejo","Desa Kepuhrejo ","25 Orang","Sujarwo ","081353155175","","","-7.6720887","111.4490573","0000-00-00 00:00:00","2020-04-11 11:47:45","0000-00-00 00:00:00"
"Dalam Observasi","747","KAB. MAGETAN","TAKERAN","Kerik","Gedung SDN Kerik","Desa Kerik ","25 Orang","Nur Widianto","085745801860","","","-7.6636966","111.4575003","0000-00-00 00:00:00","2020-04-11 11:49:56","0000-00-00 00:00:00"
"Dalam Observasi","748","KAB. MAGETAN","TAKERAN","Waduk","Gedung SDN Waduk","Desa Waduk ","25 Orang","Slamet ","081235861055","","","-7.9497487","111.5392742","0000-00-00 00:00:00","2020-04-11 11:51:59","0000-00-00 00:00:00"
"Dalam Observasi","749","KAB. MAGETAN","TAKERAN","Jomblang","Gedung SDN Jomblang","Desa Jomblang ","25 Orang","Mardjianto ","08135943555","","","-7.6728306","111.4783387","0000-00-00 00:00:00","2020-04-11 11:54:45","0000-00-00 00:00:00"
"Dalam Observasi","750","KAB. MAGETAN","TAKERAN","Madigondo","Gedung SDN Madigondo","Desa Madigondo ","25 Orang","Sulistyono ","08125921728","","","-7.6593267","111.4909853","0000-00-00 00:00:00","2020-04-11 11:58:02","0000-00-00 00:00:00"
"Dalam Observasi","751","KAB. MAGETAN","TAKERAN","Kerang","Gedung SDN Kerang","Desa Kerang ","25 Orang","Marno ","081249380697","","","-7.6725273","111.4919296","0000-00-00 00:00:00","2020-04-11 12:01:57","0000-00-00 00:00:00"
"Dalam Observasi","752","KAB. MAGETAN","TAKERAN","Sawojajar","Gedung SDN Sawojajar","Desa Sawojajar ","25 Orang","Sukamdi ","089652542482","","","-7.6860271","111.4758292  ","0000-00-00 00:00:00","2020-04-11 12:04:17","0000-00-00 00:00:00"
"Dalam Observasi","753","KAB. MAGETAN","TAKERAN","Duyung","Gedung SDN Duyung","Desa Duyung ","25 Orang","Kiki Evina ","081332700496","","","-7.6961232","111.4810947","0000-00-00 00:00:00","2020-04-11 12:08:32","0000-00-00 00:00:00"
"Dalam Observasi","754","KAB. MAGETAN","TAKERAN","Kiringan","Gedung SDN Kiringan","Desa Kiringan ","25 Orang","Supriyanto ","081259734227","","","-7.6975656","111.4656407","0000-00-00 00:00:00","2020-04-11 12:11:54","0000-00-00 00:00:00"
"Dalam Observasi","755","KAB. MAGETAN","TAKERAN","Tawangrejo","Gedung SDN Tawangrejo","Desa Tawangrejo ","25 Orang","Sudjarwo ","081290406100","","","-7.6824231","111.4843788","0000-00-00 00:00:00","2020-04-11 12:14:06","0000-00-00 00:00:00"
"Dalam Observasi","756","KAB. MAGETAN","NGUNTORONADI","Nguntoronadi","Gedung SDN Nguntoronadi","Desa Nguntoronadi ","25 Orang","Basuki R. ","082232528337","","","-7.7125331","111.4343412","0000-00-00 00:00:00","2020-04-11 12:17:04","0000-00-00 00:00:00"
"Dalam Observasi","757","KAB. MAGETAN","NGUNTORONADI","Driyorejo","Gedung SDN Driyorejo","Desa Driyorejo ","25 Orang","Yanto P. ","081335267331","","","-7.7012276","111.4257438","0000-00-00 00:00:00","2020-04-11 12:22:58","0000-00-00 00:00:00"
"Dalam Observasi","758","KAB. MAGETAN","NGUNTORONADI","Simbatan","Gedung SDN Simbatan","Desa Simbatan ","25 Orang","Nur Hidayat ","081234141996","","","-7.6923396","111.4380553  ","0000-00-00 00:00:00","2020-04-11 12:26:36","0000-00-00 00:00:00"
"Dalam Observasi","759","KAB. MAGETAN","NGUNTORONADI","Petungrejo","Gedung SDN Petungrejo","Desa Petungrejo ","25 Orang","Suprayuda ","085784672472","","","-7.7141586","  111.4445302","0000-00-00 00:00:00","2020-04-11 20:53:19","0000-00-00 00:00:00"
"Dalam Observasi","760","KAB. MAGETAN","NGUNTORONADI","Purworejo","Gedung SDN Purworejo","Desa Purworejo ","25 Orang","A. Cahyoko ","081230535500","","","-7.7018396","  111.4452988","0000-00-00 00:00:00","2020-04-11 20:54:52","0000-00-00 00:00:00"
"Dalam Observasi","761","KAB. MAGETAN","NGUNTORONADI","Kenongomulyo","Gedung SDN Kenongomulyo","Desa Kenongomulyo ","25 Orang","H. Suwarno ","081217963380","","","-7.7025441"," 111.4592248 ","0000-00-00 00:00:00","2020-04-11 20:56:44","0000-00-00 00:00:00"
"Dalam Observasi","762","KAB. MAGETAN","NGUNTORONADI","Goranggareng","Gedung SDN Gr Gr Taji","Desa Gr Gr Taji ","25 Orang","Irvan ","082244058005","","","-7.7168287","  111.4561612","0000-00-00 00:00:00","2020-04-11 20:59:30","0000-00-00 00:00:00"
"Dalam Observasi","763","KAB. MAGETAN","NGUNTORONADI","Semen","Gedung SDN Semen","Desa Semen ","25 Orang","E. Subiyanto","081335037111","","","-7.7304886"," 111.4440252 ","0000-00-00 00:00:00","2020-04-11 21:01:09","0000-00-00 00:00:00"
"Dalam Observasi","764","KAB. MAGETAN","NGUNTORONADI","Sukowidi","Gedung SDN Sukowidi","Desa Sukowidi ","25 Orang","Sukatman ","082139357256","","","-7.7251106","  111.4340702","0000-00-00 00:00:00","2020-04-11 21:03:47","0000-00-00 00:00:00"
"Dalam Observasi","765","KAB. MAGETAN","LEMBEYAN","Kediren","Aula Balai ","Jl. Raya  ","10 Orang","Rusmanto","","","","-7.7609441","111.3659077","0000-00-00 00:00:00","2020-04-11 21:06:16","0000-00-00 00:00:00"
"Dalam Observasi","766","KAB. MAGETAN","LEMBEYAN","Tapen","Aula Balai ","Desa Tapen ","10 Orang","Lilik ErnaWati","85648695634","","","-7.7356156","111.3666124","0000-00-00 00:00:00","2020-04-11 14:14:23","0000-00-00 00:00:00"
"Dalam Observasi","767","KAB. MAGETAN","LEMBEYAN","Krowe","Aula Balai ","Desa Krowe ","8 Orang","Wuri Lestari","85736384104","","","-7.7265021","111.3590852","0000-00-00 00:00:00","2020-04-11 21:08:10","0000-00-00 00:00:00"
"Dalam Observasi","768","KAB. MAGETAN","LEMBEYAN","Pupus","Aula Balai ","Desa Pupus ","20 Orang","Edy R","81353783955","","","-7.7370496","111.3909889","0000-00-00 00:00:00","2020-04-10 11:43:23","0000-00-00 00:00:00"
"Dalam Observasi","769","KAB. MAGETAN","LEMBEYAN","Nguri","Aula ","Desa Nguri ","10 Orang","Sigit","82334149975","","","-7.745326","111.4155052","0000-00-00 00:00:00","2020-04-10 11:51:41","0000-00-00 00:00:00"
"Dalam Observasi","770","KAB. MAGETAN","LEMBEYAN","Kedungpanji","Aula Balai ","Desa ","30 Orang","Umi.S","85808947780","","","-7.7490746","111.4245933","0000-00-00 00:00:00","2020-04-10 11:55:50","0000-00-00 00:00:00"
"Dalam Observasi","771","KAB. MAGETAN","LEMBEYAN","Tunggur","Aula Balai","SDN Tunggur 2 ","10 Orang","Erli Kusmiati","82338473470","","-","-7.7688404","111.4098511","0000-00-00 00:00:00","2020-04-10 11:58:30","0000-00-00 00:00:00"
"Dalam Observasi","772","KAB. MAGETAN","LEMBEYAN","Dukuh","Aula Balai ","Ds. Dukuh ","10 Orang","Nur Susilowati","81232343512","","","-7.7692814","111.4349237","0000-00-00 00:00:00","2020-04-10 12:00:13","0000-00-00 00:00:00"
"Dalam Observasi","773","KAB. MAGETAN","LEMBEYAN","Lembeyan Wetan","Aula Desa","Jl. Raya  ","4 Orang","Dwi Aji","85708116547","","","-7.7720436","111.3941591","0000-00-00 00:00:00","2020-04-10 12:03:17","0000-00-00 00:00:00"
"Dalam Observasi","774","KAB. MAGETAN","LEMBEYAN","","Lembeyan Wetan","Lembeyan Ponorogo ","","","","","","-7.7477571","  111.3905933","0000-00-00 00:00:00","2020-04-10 12:05:53","0000-00-00 00:00:00"
"Dalam Observasi","775","KAB. MAGETAN","BENDO","Lemahbang","Perpustakaan ","Ds. Lemahbang ","20 Orang","Puryadi","81359518324","","","-7.6288716","111.4420605","0000-00-00 00:00:00","2020-04-10 12:08:51","0000-00-00 00:00:00"
"Dalam Observasi","776","KAB. MAGETAN","BENDO","Belotan","Aula Balai","Ds.Belotan ","25 Orang","Sukadi","81249024028","","","-7.6572549","111.4042027","0000-00-00 00:00:00","2020-04-10 12:10:50","0000-00-00 00:00:00"
"Dalam Observasi","777","KAB. MAGETAN","BENDO","Bulugledeg","Aula Balai","Ds.Bulugleged ","30 Orang","Suyadi A W","81357490989","","","-7.6473923","111.4032965","0000-00-00 00:00:00","2020-04-10 12:16:58","0000-00-00 00:00:00"
"Dalam Observasi","778","KAB. MAGETAN","BENDO","Soco","Balai Desa","Ds.Soco ","15 Orang","Didik H","8124975696","","","-7.648455","111.4422656","0000-00-00 00:00:00","2020-04-10 12:20:12","0000-00-00 00:00:00"
"Dalam Observasi","779","KAB. MAGETAN","BENDO","Carikan","Aula Balai","Ds.Carikan ","40 Orang","Iin Rosita","81331540972","","","-7.646805","111.4323151","0000-00-00 00:00:00","2020-04-10 12:23:05","0000-00-00 00:00:00"
"Dalam Observasi","780","KAB. MAGETAN","BENDO","Kledokan","SDN 1 Kledokan","Ds.Kledokan ","15 Orang","Gito","85259677823","","","-7.6272194","111.4255469","0000-00-00 00:00:00","2020-04-10 12:21:36","0000-00-00 00:00:00"
"Dalam Observasi","781","KAB. MAGETAN","BENDO","Duwet","Aula Balai","Ds.Duwet ","20 Orang","Sarni","81216157313","","","-7.635635","111.3996142","0000-00-00 00:00:00","2020-04-10 12:24:25","0000-00-00 00:00:00"
"Dalam Observasi","782","KAB. MAGETAN","BENDO","Dukuh","Aula Balai","Ds.Dukuh ","30 Orang","Guritna","8,12E+11","","-","-7.6513043","111.3896984","0000-00-00 00:00:00","2020-04-10 12:27:17","0000-00-00 00:00:00"
"Dalam Observasi","783","KAB. MAGETAN","BENDO","Pingkuk","Aula Balai","Ds.Pingkuk ","20 Orang","Abdul Azis","81335798256","","","-7.663775","111.4330652","0000-00-00 00:00:00","2020-04-10 12:30:23","0000-00-00 00:00:00"
"Dalam Observasi","784","KAB. MAGETAN","BENDO","Tanjung","Kantor Koperasi","Ds.Tanjung ","15 Orang","Yudi Wibowo","82244777910","","","-7.6500344","111.4545743","0000-00-00 00:00:00","2020-04-10 12:31:17","0000-00-00 00:00:00"
"Dalam Observasi","785","KAB. MAGETAN","BENDO","Kinandang","Aula Balai","Ds.Kinandanng ","50 Orang","Agus Riyanto","8,23E+11","","","-7.6351436","111.4497369","0000-00-00 00:00:00","2020-04-10 12:32:15","0000-00-00 00:00:00"
"Dalam Observasi","786","KAB. MAGETAN","BENDO","Bulak","Aula Balai","Ds.Bulak ","20 Orang","Khoirul Ichsan","85334238810","","","-7.641499","111.4684346","0000-00-00 00:00:00","2020-04-10 12:33:17","0000-00-00 00:00:00"
"Dalam Observasi","787","KAB. MAGETAN","BENDO","Kleco","Polindes","Ds.Kleco ","40 Orang","Wandojo P","5235030333","","","-7.6143044","111.4136272","0000-00-00 00:00:00","2020-04-10 12:38:25","0000-00-00 00:00:00"
"Dalam Observasi","788","KAB. MAGETAN","BENDO","Setren","Aula Balai","Ds.Setren ","20 Orang","Sunarto","81335920071","","","-7.6208399","111.4101337","0000-00-00 00:00:00","2020-04-10 12:32:48","0000-00-00 00:00:00"
"Dalam Observasi","789","KAB. MAGETAN","BENDO","Tegalarum","Kantor PKK","Ds.Tegalarum ","40 Orang","Sukatno","85645811225","","","-7.650406","111.4675712","0000-00-00 00:00:00","2020-04-10 12:34:40","0000-00-00 00:00:00"
"Dalam Observasi","790","KAB. MAGETAN","BENDO","Bendo","Aula Balai","Kel.Bendo ","40 Orang","Slamet","8213290860","","","-7.6396289","111.4150967","0000-00-00 00:00:00","2020-04-10 12:43:58","0000-00-00 00:00:00"
"Dalam Observasi","791","KAB. NGAWI","NGAWI","Karangtengah"," Balai Kel ","Kel. Karangtengah "," 5 Tempat tidur "," Sukarno ","8113666060"," - ","","-7,397903","111,441682","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","792","KAB. NGAWI","NGAWI","Krt. Prandon"," Balai Desa ","Ds. Krt. Prandon "," 5 Tempat tidur "," Katimin ","8125903636"," - ","","-7,399499","111,477104","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","793","KAB. NGAWI","NGAWI","Ngawi Purba"," Balai Desa ","Ds. Ngawi Purba "," 5 Tempat tidur "," Eko ","85790678600"," - ","","-7,389755","111,461825","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","794","KAB. NGAWI","NGAWI","Karangasri"," Balai Desa ","Ds. Karangasri "," 5 Tempat tidur "," Haryono Spautro ","81359755510"," - ","","-7,40784","111,456225","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","795","KAB. NGAWI","NGAWI","Banyuurip"," Balai Desa ","Ds. Banyuurip "," 5 Tempat tidur "," Nasir ","8585359331"," - ","","-7,368158","111,487444","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","796","KAB. NGAWI","PARON","Paron"," Ruang kelas SDN 1 Paron ","Ds. Paron "," 40 Tempat tidur "," Suratman ","81335074076"," - ","","-7,436814","111,395432","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","797","KAB. NGAWI","GENENG","Geneng"," - "," -  "," - "," - ",""," - ","","-7,490893","111,429562","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","798","KAB. NGAWI","PADAS","Padas"," - "," -  "," - "," - ",""," - ","","-7,432363","111,527198","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","799","KAB. NGAWI","KARANGJATI","Karangjati"," - "," -  "," - "," - ",""," - ","","-7,456869","111,604876","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","800","KAB. NGAWI","KWADUNGAN","Kwadungan",""," ","","","","","","-7,513633","111,519716","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","801","KAB. NGAWI","KWADUNGAN","Dinden"," Ruang guru PAUD ","Ds. Dinden "," 25 Tempat tidur "," Siswanto ","8,22E+11"," - ","","-7,485078","111,492577","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","802","KAB. NGAWI","NGRAMBE","Ngrambe",""," ","","","","","","-7,508604","111,206172","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","803","KAB. NGAWI","NGRAMBE","Tawangrejo"," Ruang Posyandu ","Ds. Tawangrejo "," 6 Tempat tidur "," Sutrisno Saputo ",""," - ","","-7,525208","111,203734","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","804","KAB. NGAWI","NGRAMBE","Cepoko"," Balai Desa ","Ds. Cepoko "," 8 Tempat tidur "," M Nuryanto ",""," - ","","-7,477927","111,209625","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","805","KAB. NGAWI","NGRAMBE","Sidomulyo"," Ruang Posyandu ","Ds. Sidomulyo "," 5 Tempat tidur "," Sutrisno ",""," - ","","-7,504628","111,197369","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","806","KAB. NGAWI","JOGOROGO","Jogorogo"," - "," -  "," - "," - ",""," - ","","-7,522766","111,250092","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","807","KAB. NGAWI","KENDAL","Kendal"," - "," -  "," - "," - ",""," - ","","-7,567951","111,288251","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","808","KAB. NGAWI","SINE","Sine",""," ","","","","","","-7,509154","111,166776","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","809","KAB. NGAWI","SINE","Ketanggung"," Balai desa ","Ds. Ketanggung "," 10 Tempat tidur "," Srijoko ",""," - ","","-7.4652297","111.1214038","0000-00-00 00:00:00","2020-04-10 18:08:13","0000-00-00 00:00:00"
"Dalam Observasi","810","KAB. NGAWI","SINE","Kuniran"," Gedung PKK ","Ds. Kuniran "," 7 Tempat tidur "," Joko ",""," - ","","-7,498546","111,157637","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","811","KAB. NGAWI","SINE","Jagir"," Gedung seba guna ","Ds. Jagir "," 7 Tempat tidur "," Suwarso ",""," - ","","-7,47106","111,181581","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","812","KAB. NGAWI","SINE","Sumbersari"," Ruang kelas SDN 1  ","Ds. Sumbersari "," 7 Tempat tidur "," Dwi Winarto ","","","","-7,491312","111,181741","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","813","KAB. NGAWI","KEDUNGGALAR","Kedunggalar "," Aula Desa Keduggalar ","Ds. Kedunggalar  "," 10 Tempat tidur "," Joko ",""," - ","","-7,422028","111,3056","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","814","KAB. NGAWI","KEDUNGGALAR","Jengrik "," Balai Desa ","Ds. Jengrik  "," 6 Tempat tidur "," Suparni ",""," - ","","-7,396591","111,33705","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","815","KAB. NGAWI","KEDUNGGALAR","Plang Lor "," Balai Desa "," Ds. Planglor  "," 7 Tempat tidur "," Haryana ",""," - ","","-7,390605","111,279512","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","816","KAB. NGAWI","KEDUNGGALAR","Begal "," Kantor Desa ","Ds. Begal  "," 5 Tempat tidur "," Yusuf ",""," - ","","-7,466831","111,271784","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","817","KAB. NGAWI","KEDUNGGALAR","Gemarang "," Aula Desa Gemarang ","Ds. Gemarang  "," 10 Tempat tidur "," Sunarni ",""," - ","","-7,398056","111,360428","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","818","KAB. NGAWI","KEDUNGGALAR","Wonokerto "," Rumah Kasun Pundak "," Ds. Pundak  "," 6 Tempat tidur "," Moasri ",""," - ","","-7,413024","111,34101","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","819","KAB. NGAWI","KEDUNGGALAR","Plangkidul"," Pustu ","Ds. Plangkidul "," 5 Tempat tidur "," Sudarno ",""," - ","","-7,450956","111,309526","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","820","KAB. NGAWI","KASREMAN","Gunungsari"," Ruang Guru TK ","Ds. Gunungsari "," 10 Tempat tidur "," Minto ",""," - ","","-7,379286","111,539136","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","821","KAB. NGAWI","GERIH","Keraskulon"," Kantor Desa ","Ds. Keraskulon "," 5 Tempat tidur "," Saefudin ",""," - ","","-7,52815","111,420799","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","822","KAB. NGAWI","GERIH","Gerih"," Kantor PKK ","Ds. Gerih "," 5 Tempat tidur "," Budiyanto ",""," - ","","-7,52305","111,399176","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","823","KAB. NGAWI","GERIH","Randusongo"," Kantor PKK ","Ds. Randusongo "," 5 Tempat tidur "," Edi Susilo ",""," - ","","-7,569016","111,354393","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","824","KAB. TRENGGALEK","TRENGGALEK","Tamanan","Aula Balai Kelurahan","Rt. 01/01 Kel. Tamanan ","24 Tempat tidur","Bpk Aslan ","","","","-8,05697","111,70334","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","825","KAB. TRENGGALEK","TRENGGALEK","Sumbergedong","Aula Balai Kelurahan","Rt. 07/03 Kel.Sumbergedong ","30 Tempat tidur","Bpk Rifna","","","","-8,054914","-8,054914","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","826","KAB. TRENGGALEK","TRENGGALEK","Kelutan","Aula Balai Kelurahan","Jl. Skarno Hatta Gg. Langsep ","20 Tempat Tidur","Pamuji Rohmad","","","","-8,068219","111,706293","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","827","KAB. TRENGGALEK","TRENGGALEK","Parakan","Aula Balai Desa","Rt. 10/04 Ds. Parakan ","25 Tempat Tidur","Suharto","","","","-8,041608","111,734446","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","828","KAB. TRENGGALEK","TRENGGALEK","Rejowinangun","Aula Balai Desa","Jl. Kanjeng Jimat No. 198 ","25 Tempat Tidur","Mustakim","","","","-8,041631","111,734444","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","829","KAB. TRENGGALEK","TRENGGALEK","Surodakan","Aula Balai Kelurahan","Rt. 01/01 Kel. Sorodakan ","25 Tempat Tidur","Agus Suyanto","","","","-8,048545","111,713837","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","830","KAB. TRENGGALEK","TRENGGALEK","Sukosari","Aula Balai Desa","Rt. 06/02 Ds. Sukosari ","20 Tempat Tidur","Nggoro","","","","-8,04871","111,713774","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","831","KAB. TRENGGALEK","TRENGGALEK","Karangsoko","Aula Balai Desa","Rt. 15/03 Ds. Karangsoko ","20 Tempat Tidur","Slamet","","","","-8,0808902","111,7080197","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","832","KAB. TRENGGALEK","TRENGGALEK","Ngares","Aula Balai Desa","Rt. 07/03 Ds. Ngares ","20 Tempat Tidur","Supriyanto","","","","-8,0808902","111,7080197","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","833","KAB. TRENGGALEK","TRENGGALEK","Ngantru","Aula Balai Kelurahan","Rt. 04/02 Kel. Ngantru ","20 Tempat Tidur","Tanto Asmiardi","","","","-8,054362","111,70458","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","834","KAB. TRENGGALEK","TRENGGALEK","Sumberdadi","Aula Balai Desa","Rt. 03/05 Desa Sumberdadi ","20 Tempat Tidur","Munawar","","","","-8,017276","111,714905","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","835","KAB. TRENGGALEK","TRENGGALEK","Sambirejo","Aula Balai Desa ","Rt. 05/02 Desa Sambirejo ","20 Tempat Tidur","Karyanto","","","","-8,077158","111,718721","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","836","KAB. TRENGGALEK","TRENGGALEK","Dawuhan","Aula Balai Desa ","Rt. 01/01 Desa Dawuhan ","20 Tempat Tidur","Kusni","","","","-8,007622","111,737038","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","837","KAB. TRENGGALEK","POGALAN","Ngetal","-","- ","-","-","","","Proses","-8.0934887","111.7246528","0000-00-00 00:00:00","2020-04-10 20:33:27","0000-00-00 00:00:00"
"Dalam Observasi","838","KAB. TRENGGALEK","POGALAN","Ngadirejo","-","- ","-","-","","","Proses","-8.1329987","111.7539352","0000-00-00 00:00:00","2020-04-10 20:51:26","0000-00-00 00:00:00"
"Dalam Observasi","839","KAB. TRENGGALEK","POGALAN","Wonocoyo","-","- ","-","-","","","Proses","-8.1016996","111.7165312","0000-00-00 00:00:00","2020-04-10 20:55:00","0000-00-00 00:00:00"
"Dalam Observasi","840","KAB. TRENGGALEK","POGALAN"," Ngulankulon","Puskesmas Ngulan Kulon","Rt 19/05 Dsn. Krajan Ds. Ngulankulon ","12 Tempat Tidur","Dr. Darmaji","082233882264","","","-8,063199","111,747974","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","841","KAB. TRENGGALEK","POGALAN","Kedunglurah","-","- ","-","-","","","Proses","-8.1136946","111.7574453","0000-00-00 00:00:00","2020-04-11 07:10:32","0000-00-00 00:00:00"
"Dalam Observasi","842","KAB. TRENGGALEK","POGALAN","Gembleb","-","- ","-","-","","","Proses","-8.0793626","111.7502263","0000-00-00 00:00:00","2020-04-11 08:57:30","0000-00-00 00:00:00"
"Dalam Observasi","843","KAB. TRENGGALEK","POGALAN","Bendorejo","-","- ","-","-","","","Proses","-8.0967271","111.7428503","0000-00-00 00:00:00","2020-04-11 09:01:28","0000-00-00 00:00:00"
"Dalam Observasi","844","KAB. TRENGGALEK","POGALAN","Ngadirenggo","-","- ","-","-","","","Proses","-8.1329771","111.7451803","0000-00-00 00:00:00","2020-04-11 09:11:21","0000-00-00 00:00:00"
"Dalam Observasi","845","KAB. TRENGGALEK","POGALAN","Ngulanwetan","-","- ","-","-","","","Proses","-8.0522881","111.7443048","0000-00-00 00:00:00","2020-04-11 09:15:46","0000-00-00 00:00:00"
"Dalam Observasi","846","KAB. TRENGGALEK","POGALAN","Pogalan","-","- ","-","-","","","Proses","-8.0887975","111.7117514","0000-00-00 00:00:00","2020-04-11 09:20:11","0000-00-00 00:00:00"
"Dalam Observasi","847","KAB. TRENGGALEK","DURENAN","Pandean","Balai Desa Pandean","Rt. 01/ 01 Ds. Pandean ","5 Tempat Tidur","Suwarno,","","","","-8,119875","111,806849","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","848","KAB. TRENGGALEK","DURENAN","Semarum","Balai DesaSemarum","Rt. 02/ 01 Ds. Semarum ","3 Tempat Tidur","Agus Priyanto SH","","","","-8,109462","111,796038","0000-00-00 00:00:00","0000-00-00 00:00:00","0000-00-00 00:00:00"
"Dalam Observasi","849","KAB. TRENGGALEK","DURENAN","Panggungsari","Balai Desa Panggungsari","Rt. 01/01 Ds. Panggungsari "," 5 Tempat tidur","Heru Sugiono, SE ","","","","-8.1255786","111.8059002","0000-00-00 00:00:00","2020-04-11 09:30:01","0000-00-00 00:00:00"
